2023-12-10 11:21:07,305 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:07,383 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:07,442 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:07,473 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:07,511 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:07,554 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:07,591 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:07,623 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:07,661 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:07,692 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:07,730 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:07,754 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:07,792 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:07,823 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:07,854 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:07,891 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:07,922 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:07,953 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:07,989 ; dogbone.ui ; INFO ; 185; preSelectStart - active:False ended:False
2023-12-10 11:21:08,021 ; dogbone.ui ; DEBUG ; 191; current ID: 5633855123433482782
2023-12-10 11:21:08,047 ; dogbone.ui ; DEBUG ; 197; Trigger TLG supression
2023-12-10 11:21:08,078 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:08,109 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:08,154 ; dogbone.ui ; INFO ; 206; preSelectEnd - active:True ended:False
2023-12-10 11:21:08,186 ; dogbone.ui ; DEBUG ; 207; current ID: 5633855123433482782
2023-12-10 11:21:08,217 ; dogbone.ui ; DEBUG ; 210; Trigger TLG restore
2023-12-10 11:21:08,254 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:True
2023-12-10 11:21:08,285 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:08,316 ; dogbone.ui ; DEBUG ; 181; End Triggered
2023-12-10 11:21:08,354 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:08,386 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:08,430 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:08,461 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:08,492 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:08,541 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:08,573 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:08,605 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:08,643 ; dogbone.ui ; INFO ; 185; preSelectStart - active:False ended:False
2023-12-10 11:21:08,669 ; dogbone.ui ; DEBUG ; 191; current ID: 5633855123433482782
2023-12-10 11:21:08,701 ; dogbone.ui ; DEBUG ; 197; Trigger TLG supression
2023-12-10 11:21:08,737 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:08,768 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:08,806 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:08,837 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:08,868 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:08,894 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:08,925 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:08,963 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:08,988 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:09,019 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:09,044 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:09,076 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:09,113 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:09,145 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:12,139 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:12,169 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:12,201 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:12,227 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:12,259 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:12,297 ; dogbone.ui ; INFO ; 225; onPreSelect - active:True ended:False
2023-12-10 11:21:12,329 ; dogbone.ui ; DEBUG ; 226; current ID: 5633855123433482782
2023-12-10 11:21:12,361 ; dogbone.ui ; DEBUG ; 237; In a recognized occurrence
2023-12-10 11:21:12,392 ; dogbone.ui ; DEBUG ; 240; preSelect triggered
2023-12-10 11:21:12,423 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:12,454 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:False
2023-12-10 11:21:12,485 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:12,518 ; dogbone.ui ; INFO ; 206; preSelectEnd - active:True ended:False
2023-12-10 11:21:12,548 ; dogbone.ui ; DEBUG ; 207; current ID: 5633855123433482782
2023-12-10 11:21:12,592 ; dogbone.ui ; DEBUG ; 210; Trigger TLG restore
2023-12-10 11:21:12,629 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:True
2023-12-10 11:21:12,660 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:12,685 ; dogbone.ui ; DEBUG ; 181; End Triggered
