58 ; __init__ ; DEBUG ; 58; faceEdgeMgr initiated
256 ; __init__ ; DEBUG ; 256; 19400:1 - face initiated
337 ; selected ; DEBUG ; 337;  19400:1 - face object added to registeredFaces
282 ; __init__ ; DEBUG ; 282; 0 - edges found on face creation
334 ; selected ; DEBUG ; 334;  19400:1 - face object removed from selectedFaces
285 ; __init__ ; DEBUG ; 285; no edges found on deselecting face 
256 ; __init__ ; DEBUG ; 256; 19401:1 - face initiated
337 ; selected ; DEBUG ; 337;  19401:1 - face object added to registeredFaces
282 ; __init__ ; DEBUG ; 282; 0 - edges found on face creation
334 ; selected ; DEBUG ; 334;  19401:1 - face object removed from selectedFaces
285 ; __init__ ; DEBUG ; 285; no edges found on deselecting face 
256 ; __init__ ; DEBUG ; 256; 19402:1 - face initiated
337 ; selected ; DEBUG ; 337;  19402:1 - face object added to registeredFaces
282 ; __init__ ; DEBUG ; 282; 0 - edges found on face creation
334 ; selected ; DEBUG ; 334;  19402:1 - face object removed from selectedFaces
285 ; __init__ ; DEBUG ; 285; no edges found on deselecting face 
256 ; __init__ ; DEBUG ; 256; 19403:1 - face initiated
337 ; selected ; DEBUG ; 337;  19403:1 - face object added to registeredFaces
282 ; __init__ ; DEBUG ; 282; 0 - edges found on face creation
334 ; selected ; DEBUG ; 334;  19403:1 - face object removed from selectedFaces
285 ; __init__ ; DEBUG ; 285; no edges found on deselecting face 
256 ; __init__ ; DEBUG ; 256; 13232:1 - face initiated
337 ; selected ; DEBUG ; 337;  13232:1 - face object added to registeredFaces
282 ; __init__ ; DEBUG ; 282; 0 - edges found on face creation
334 ; selected ; DEBUG ; 334;  13232:1 - face object removed from selectedFaces
285 ; __init__ ; DEBUG ; 285; no edges found on deselecting face 
256 ; __init__ ; DEBUG ; 256; 13029:1 - face initiated
337 ; selected ; DEBUG ; 337;  13029:1 - face object added to registeredFaces
282 ; __init__ ; DEBUG ; 282; 0 - edges found on face creation
334 ; selected ; DEBUG ; 334;  13029:1 - face object removed from selectedFaces
285 ; __init__ ; DEBUG ; 285; no edges found on deselecting face 
256 ; __init__ ; DEBUG ; 256; 6408:1 - face initiated
337 ; selected ; DEBUG ; 337;  6408:1 - face object added to registeredFaces
282 ; __init__ ; DEBUG ; 282; 2 - edges found on face creation
202 ; selected ; DEBUG ; 202; 13032:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 13032:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 13032:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  13032:1 - edge object added
202 ; selected ; DEBUG ; 202; 6442:1 - edge selected - True
205 ; selected ; DEBUG ; 205; 6442:1 - edge appended
180 ; __init__ ; DEBUG ; 180; 6442:1 - edge initiated
293 ; __init__ ; DEBUG ; 293;  6442:1 - edge object added
256 ; __init__ ; DEBUG ; 256; 6409:1 - face initiated
